index,region,cluster,pc,cor
nao,Oceania,8,2,0.287518249225044
npo,Africa,8,2,0.234119839669425
oni,Americas,8,3,0.319054863535807
nao,Antarctica,8,3,0.247423376751629
pdo,Asia,8,3,0.231189893901895
iod,Europe,8,3,0.256698496238379
npgo,Oceania,8,3,0.290371461718714
nao,Africa,9,1,cor04
iod,Americas,9,1,0.2571736744364
npgo,Antarctica,9,1,0.34642346042752
npo,Asia,9,1,0.288914955029986
oni,Europe,9,3,0.240683715189331
nao,Oceania,9,3,0.343504001945046
iod,Africa,9,3,0.253982715161549
npgo,Americas,9,3,0.296355902631596
oni,Antarctica,10,1,0.252361183201688
pdo,Asia,10,1,cor04
iod,Europe,10,1,0.24940709168431
npo,Oceania,10,1,cor04
nao,Africa,10,2,0.246597915185039
pdo,Americas,10,2,0.235227156564567
npo,Antarctica,10,2,0.240912600565827
oni,Asia,10,3,0.263226889935959
iod,Europe,10,3,0.261119945755223
npo,Oceania,10,3,0.256792219460061
nao,Africa,11,1,0.308303831132259
iod,Americas,11,1,0.250153681985933
npo,Antarctica,11,1,0.25584981333321
oni,Asia,11,2,0.248731484353949
pdo,Europe,11,2,0.238180289450416
npgo,Oceania,11,2,0.311266269768081
oni,Africa,11,3,0.244996776261418
nao,Americas,11,3,0.276614218282466
npgo,Antarctica,11,3,0.268213298957433
oni,Asia,12,1,0.233078436660752
nao,Europe,12,1,0.240618762085942
iod,Oceania,12,1,0.31966643590219
npgo,Africa,12,1,0.246154114231065
npo,Americas,12,1,0.329462957255453
oni,Antarctica,12,2,0.261748541141747
npo,Asia,12,2,0.24950803539651
npo,Europe,12,3,0.252909126940689
oni,Oceania,13,1,cor04
pdo,Africa,13,1,0.359499242764332
iod,Americas,13,1,0.312012960872865
npgo,Antarctica,13,1,0.311118759440185
npo,Asia,13,1,0.23734880198281
oni,Europe,13,2,0.341627141001646
pdo,Oceania,13,2,0.287992428368932
iod,Africa,13,2,0.331125964017414
npgo,Americas,13,2,0.280698082855575
oni,Antarctica,13,3,0.355062279729244
pdo,Asia,13,3,0.234550783570586
npgo,Europe,13,3,0.365227456110594
oni,Oceania,14,1,0.296334993022592
pdo,Africa,14,1,0.244003210605097
iod,Americas,14,1,0.23564552668852
npgo,Antarctica,14,1,0.250629347944778
oni,Asia,14,2,0.33189274563454
nao,Europe,14,2,0.254378180436873
iod,Oceania,14,2,0.257317375882669
npgo,Africa,14,2,0.246463819916799
npo,Americas,14,2,0.334679784122045
oni,Antarctica,14,3,0.306617827422775
nao,Asia,14,3,0.237477192938986
npo,Europe,14,3,0.258028633896098
nao,Oceania,15,1,0.341533098561592
npgo,Africa,15,1,cor04
npo,Americas,15,1,0.323760072296292
oni,Antarctica,15,2,0.254123304722947
nao,Asia,15,2,0.276174074709812
oni,Europe,15,3,0.267713091348652
pdo,Oceania,15,3,0.276334514071407
npgo,Africa,15,3,0.356954281462024
pdo,Americas,16,1,0.235961440242801
iod,Antarctica,16,1,0.23857485935892
npgo,Asia,16,1,0.246790012232423
iod,Europe,16,2,0.248493272868411
npo,Oceania,16,2,0.379224145649363
nao,Africa,17,1,0.252622972905403
pdo,Americas,17,1,0.313271371053121
oni,Antarctica,17,2,0.242171795442081
npgo,Asia,17,2,0.373594136869139
npo,Europe,17,2,0.299411130402286
nao,Oceania,17,3,0.30393322223528
oni,Africa,18,1,0.352016963802201
nao,Americas,18,1,cor04
nao,Antarctica,18,2,0.351435012951134
pdo,Asia,18,2,0.284028773243621
npo,Europe,18,2,0.284846926291591
nao,Oceania,18,3,0.273909842342633
pdo,Africa,18,3,0.242892033180522
npo,Americas,18,3,0.248973617293389
oni,Antarctica,19,1,cor04
nao,Asia,19,1,0.302565209545392
pdo,Europe,19,1,0.297368601393359
iod,Oceania,19,1,0.244305933903352
npgo,Africa,19,1,0.284969093649774
npo,Americas,19,1,0.275213386839488
oni,Antarctica,19,2,0.339274193431364
nao,Asia,19,2,0.389200606636347
pdo,Europe,19,2,0.264386343602696
iod,Oceania,19,2,0.300191870854252
npgo,Africa,19,2,0.296797824268057
npo,Americas,19,2,0.251371269673811
oni,Antarctica,19,3,cor04
pdo,Asia,19,3,0.32511210690202
iod,Europe,19,3,0.274436259742956
npgo,Oceania,19,3,0.393922768031862
nao,Africa,20,1,0.37669229920817
npgo,Americas,20,1,cor04
nao,Antarctica,20,2,cor04
oni,Asia,20,3,0.23578343836182
nao,Europe,21,1,0.282765577377338
iod,Oceania,21,2,0.331824016674122
npo,Africa,21,2,0.243448203720958
oni,Americas,21,3,0.240180268952672
iod,Antarctica,21,3,cor04
npgo,Asia,21,3,cor04
npo,Europe,21,3,0.316566332855929
oni,Oceania,22,1,0.249506354802329
nao,Africa,22,1,0.238909620905134
npgo,Americas,22,1,0.245620046834433
nao,Antarctica,22,2,0.237577351258378
pdo,Asia,22,2,0.237229472264959
iod,Europe,22,2,0.248236462658168
npgo,Oceania,22,2,0.329435691308686
oni,Africa,22,3,0.322134742508617
pdo,Americas,22,3,0.351762847830096
npo,Antarctica,22,3,0.286871932114282
oni,Asia,23,1,cor04
nao,Europe,23,1,0.237030431301171
pdo,Oceania,23,1,0.344458069703343
iod,Africa,23,1,0.235190063563224
npo,Americas,23,1,0.35903240898327
pdo,Antarctica,23,2,0.263425799776751
npgo,Asia,23,2,0.235180212618689
pdo,Europe,23,3,0.279025648122682
iod,Oceania,23,3,0.236977673846351
npo,Africa,23,3,0.271484167128368
nao,Americas,24,1,cor04
npgo,Antarctica,24,1,0.248162514994035
oni,Asia,24,3,0.29778422973081
nao,Europe,24,3,0.258723705287162
pdo,Oceania,24,3,0.348603159720601
iod,Africa,24,3,0.232227804281428
nao,Americas,25,1,cor04
npgo,Antarctica,25,1,0.274445911965634
npo,Asia,25,1,0.266583702755325
